,amount,term,month,age,bad,gender_female,gender_male,education_Bachelor,education_High School or Below,education_Master or Above,education_college
0,1000,30,June,45,0,0,1,0,1,0,0
1,1000,30,July,50,0,1,0,1,0,0,0
2,1000,30,August,33,0,1,0,1,0,0,0
3,1000,15,September,27,0,0,1,0,0,0,1
4,1000,30,October,28,0,1,0,0,0,0,1
5,300,7,July,35,0,0,1,0,0,1,0
6,1000,30,September,29,0,0,1,0,0,0,1
7,1000,30,May,36,0,0,1,0,0,0,1
8,1000,30,May,28,0,0,1,0,0,0,1
9,800,15,April,26,0,0,1,0,0,0,1
10,300,7,April,29,0,0,1,0,0,0,1
11,1000,15,September,39,0,0,1,0,1,0,0
12,1000,30,December,26,0,0,1,0,0,0,1
13,900,7,May,26,0,1,0,0,0,0,1
14,1000,7,May,27,0,0,1,0,1,0,0
15,800,15,July,26,0,0,1,0,0,0,1
16,1000,30,July,40,0,0,1,0,1,0,0
17,1000,15,January,32,0,0,1,0,1,0,0
18,1000,30,August,32,0,0,1,0,1,0,0
19,800,30,April,26,0,0,1,0,0,0,1
20,1000,30,July,26,0,0,1,0,0,0,1
21,1000,30,May,43,0,1,0,0,1,0,0
22,1000,30,October,25,0,0,1,0,1,0,0
23,1000,15,August,26,0,0,1,0,0,0,1
24,1000,30,March,26,0,0,1,0,0,0,1
25,1000,30,August,29,0,0,1,0,1,0,0
26,800,15,April,39,0,0,1,1,0,0,0
27,1000,15,June,34,0,0,1,1,0,0,0
28,1000,30,June,31,0,0,1,0,0,0,1
29,1000,30,November,33,0,0,1,0,0,0,1
30,800,15,February,33,0,0,1,0,1,0,0
31,1000,30,March,37,0,0,1,0,0,0,1
32,1000,30,May,27,0,0,1,0,0,0,1
33,1000,30,October,37,0,0,1,0,0,0,1
34,800,15,January,33,0,0,1,0,0,0,1
35,800,15,January,29,0,0,1,1,0,0,0
36,1000,30,July,27,0,0,1,0,1,0,0
37,700,15,September,33,0,0,1,0,1,0,0
38,1000,15,May,24,0,0,1,0,0,0,1
39,1000,30,February,21,0,0,1,1,0,0,0
40,1000,15,September,32,0,1,0,0,0,0,1
41,800,15,February,30,0,0,1,0,0,0,1
42,1000,7,January,31,0,0,1,1,0,0,0
43,1000,15,October,30,0,0,1,0,0,0,1
44,1000,15,July,24,0,1,0,1,0,0,0
45,800,7,July,35,0,0,1,0,1,0,0
46,1000,30,July,22,0,0,1,0,1,0,0
47,1000,30,July,32,0,0,1,0,0,0,1
48,1000,30,September,32,0,0,1,1,0,0,0
49,800,15,February,50,0,0,1,0,1,0,0
50,800,15,December,27,0,1,0,0,0,0,1
51,1000,30,July,35,0,1,0,1,0,0,0
52,800,15,November,35,0,1,0,1,0,0,0
53,1000,30,January,34,0,0,1,0,1,0,0
54,1000,30,October,21,0,0,1,0,1,0,0
55,1000,15,July,25,0,0,1,0,0,0,1
56,1000,30,May,27,0,0,1,0,1,0,0
57,1000,30,May,26,0,0,1,1,0,0,0
58,800,15,December,44,0,1,0,0,1,0,0
59,800,15,January,39,0,0,1,0,0,1,0
60,1000,30,December,34,0,0,1,1,0,0,0
61,1000,15,September,37,0,0,1,0,0,0,1
62,1000,30,January,34,0,0,1,0,1,0,0
63,1000,30,April,45,0,0,1,0,0,0,1
64,800,15,March,24,0,0,1,0,1,0,0
65,900,15,February,28,0,0,1,0,0,0,1
66,1000,30,July,28,0,0,1,1,0,0,0
67,1000,30,September,37,0,0,1,0,1,0,0
68,300,7,December,35,0,0,1,0,0,0,1
69,1000,30,November,43,0,0,1,1,0,0,0
70,800,15,April,29,0,0,1,0,0,0,1
71,800,15,July,29,0,0,1,0,1,0,0
72,1000,30,August,33,0,1,0,1,0,0,0
73,1000,15,April,34,0,0,1,0,0,0,1
74,1000,15,July,25,0,0,1,0,0,0,1
75,1000,30,April,30,0,0,1,0,1,0,0
76,1000,30,February,31,0,0,1,1,0,0,0
77,1000,30,December,35,0,0,1,0,0,0,1
78,1000,30,November,37,0,1,0,0,0,0,1
79,1000,30,June,44,0,1,0,0,1,0,0
80,1000,30,July,28,0,0,1,0,1,0,0
81,1000,7,September,25,0,0,1,0,0,0,1
82,1000,15,November,29,0,0,1,0,0,0,1
83,800,15,November,33,0,0,1,0,0,0,1
84,1000,30,April,37,0,1,0,0,1,0,0
85,1000,30,February,33,0,0,1,0,0,0,1
86,1000,30,November,24,0,1,0,0,1,0,0
87,1000,30,May,27,0,1,0,0,0,0,1
88,800,15,May,43,0,0,1,1,0,0,0
89,800,15,August,46,0,1,0,0,1,0,0
90,800,15,December,34,0,1,0,0,0,0,1
91,1000,7,August,32,0,1,0,1,0,0,0
92,800,15,March,38,0,0,1,0,1,0,0
93,800,15,December,27,0,0,1,0,1,0,0
94,1000,30,December,33,0,0,1,0,1,0,0
95,1000,30,July,36,0,0,1,0,0,0,1
96,1000,15,November,26,0,0,1,0,1,0,0
97,1000,30,February,34,0,0,1,0,0,0,1
98,1000,30,January,22,0,0,1,0,1,0,0
99,1000,30,June,31,0,1,0,1,0,0,0
100,1000,7,June,29,0,0,1,0,1,0,0
101,800,15,November,38,0,0,1,0,0,0,1
102,1000,30,August,30,0,0,1,0,0,0,1
103,1000,15,October,45,0,0,1,0,1,0,0
104,1000,15,February,35,0,0,1,0,0,0,1
105,1000,30,June,30,0,0,1,0,0,0,1
106,1000,30,September,31,0,0,1,0,1,0,0
107,1000,30,September,31,0,0,1,0,1,0,0
108,1000,30,July,28,0,0,1,0,0,0,1
109,1000,7,July,29,0,0,1,0,0,0,1
110,800,15,August,29,0,0,1,0,0,0,1
111,1000,30,January,27,0,1,0,0,0,0,1
112,1000,30,May,27,0,0,1,0,0,0,1
113,1000,30,August,33,0,0,1,0,0,0,1
114,1000,30,November,28,0,0,1,0,0,0,1
115,1000,15,July,25,0,0,1,0,1,0,0
116,1000,30,March,40,0,0,1,0,0,0,1
117,1000,30,October,23,0,0,1,0,1,0,0
118,1000,30,May,35,0,0,1,1,0,0,0
119,800,15,June,24,0,0,1,0,0,0,1
120,1000,30,April,34,0,0,1,0,0,0,1
121,1000,30,January,22,0,0,1,0,1,0,0
122,1000,15,June,20,0,0,1,0,0,0,1
123,1000,15,November,23,0,0,1,0,0,0,1
124,1000,30,July,33,0,0,1,0,0,0,1
125,1000,30,August,26,0,0,1,0,0,0,1
126,1000,15,March,28,0,0,1,0,1,0,0
127,800,15,October,43,0,0,1,0,1,0,0
128,1000,15,October,34,0,0,1,1,0,0,0
129,1000,30,June,38,0,0,1,1,0,0,0
130,1000,15,June,26,0,0,1,0,1,0,0
131,800,15,January,43,0,0,1,0,1,0,0
132,1000,30,September,26,0,0,1,0,1,0,0
133,1000,30,May,33,0,1,0,0,0,0,1
134,800,15,January,24,0,0,1,0,0,0,1
135,1000,30,July,30,0,0,1,0,1,0,0
136,800,15,November,32,0,1,0,0,1,0,0
137,1000,15,November,22,0,0,1,0,0,0,1
138,1000,15,April,47,0,0,1,0,1,0,0
139,1000,30,March,20,0,0,1,0,1,0,0
140,1000,30,May,28,0,0,1,0,1,0,0
141,800,15,July,35,0,0,1,0,0,0,1
142,1000,7,January,27,0,0,1,0,1,0,0
143,800,15,January,33,0,1,0,0,0,0,1
144,1000,30,November,30,0,0,1,0,1,0,0
145,1000,15,June,31,0,0,1,0,0,0,1
146,1000,30,October,26,0,1,0,0,0,0,1
147,300,7,November,37,0,0,1,0,0,1,0
148,1000,15,October,26,0,0,1,1,0,0,0
149,800,15,August,35,0,0,1,1,0,0,0
150,1000,15,March,29,0,0,1,0,0,0,1
151,800,15,December,23,0,0,1,0,0,0,1
152,500,15,June,23,0,1,0,0,0,0,1
153,1000,15,June,30,0,0,1,0,0,0,1
154,1000,30,October,34,0,0,1,0,0,0,1
155,1000,30,August,36,0,1,0,0,1,0,0
156,1000,15,August,26,0,0,1,1,0,0,0
157,800,15,December,29,0,0,1,0,1,0,0
158,1000,15,October,28,0,1,0,0,0,0,1
159,1000,30,December,27,0,0,1,0,1,0,0
160,1000,15,May,24,0,0,1,0,1,0,0
161,800,15,April,31,0,0,1,1,0,0,0
162,1000,30,April,28,0,0,1,0,1,0,0
163,1000,15,May,27,0,1,0,0,0,0,1
164,1000,15,March,25,0,0,1,0,1,0,0
165,1000,30,November,24,0,0,1,0,1,0,0
166,1000,30,September,28,0,0,1,0,0,0,1
167,800,30,July,28,0,0,1,0,0,0,1
168,1000,15,May,35,0,0,1,0,1,0,0
169,1000,30,December,38,0,0,1,0,0,0,1
170,1000,15,December,38,0,0,1,0,1,0,0
171,1000,30,June,29,0,0,1,0,0,0,1
172,800,15,October,35,0,0,1,0,1,0,0
173,1000,30,February,24,0,0,1,0,0,0,1
174,800,15,January,39,0,0,1,0,1,0,0
175,800,15,July,25,0,0,1,0,0,0,1
176,1000,30,July,38,0,0,1,0,1,0,0
177,1000,30,August,30,0,0,1,0,0,0,1
178,1000,30,October,21,0,0,1,0,1,0,0
179,1000,30,October,46,0,0,1,0,0,0,1
180,1000,15,October,31,0,1,0,0,1,0,0
181,300,7,October,29,0,0,1,0,1,0,0
182,1000,30,April,35,0,0,1,0,1,0,0
183,800,15,February,30,0,0,1,0,1,0,0
184,1000,30,July,27,0,0,1,0,1,0,0
185,1000,30,July,31,0,1,0,0,1,0,0
186,1000,30,February,33,0,0,1,1,0,0,0
187,1000,15,October,34,0,0,1,0,1,0,0
188,800,15,April,28,0,0,1,0,0,0,1
189,800,15,June,42,0,0,1,0,0,0,1
190,1000,30,February,32,0,0,1,0,0,0,1
191,1000,30,March,30,0,0,1,0,1,0,0
192,1000,15,March,25,0,1,0,0,1,0,0
193,1000,30,August,27,0,1,0,0,1,0,0
194,800,15,August,21,0,0,1,0,0,0,1
195,1000,30,December,24,0,0,1,0,0,0,1
196,1000,30,November,29,0,0,1,0,0,0,1
197,1000,15,August,40,0,0,1,0,0,0,1
198,1000,30,March,29,0,0,1,0,1,0,0
199,1000,30,July,29,0,0,1,0,0,0,1
200,1000,15,May,30,0,0,1,0,0,0,1
201,1000,30,March,26,0,1,0,0,1,0,0
202,1000,15,March,36,0,0,1,0,1,0,0
203,800,15,May,27,0,0,1,0,0,0,1
204,1000,30,August,20,0,0,1,0,0,0,1
205,1000,7,November,26,0,1,0,1,0,0,0
206,1000,30,April,26,0,0,1,0,0,0,1
207,1000,30,August,27,0,0,1,0,0,0,1
208,300,7,December,23,0,0,1,0,1,0,0
209,1000,30,December,39,0,0,1,0,1,0,0
210,1000,15,June,27,0,0,1,0,1,0,0
211,1000,30,June,30,0,0,1,0,1,0,0
212,1000,30,June,33,0,1,0,0,1,0,0
213,1000,30,January,27,0,0,1,0,1,0,0
214,1000,30,February,35,0,0,1,0,1,0,0
215,1000,30,January,29,0,1,0,0,0,0,1
216,1000,15,October,50,0,0,1,0,1,0,0
217,800,15,November,31,0,1,0,0,1,0,0
218,1000,15,February,31,0,0,1,0,1,0,0
219,1000,30,June,29,0,0,1,0,1,0,0
220,1000,15,July,35,0,0,1,0,0,0,1
221,1000,30,January,39,0,0,1,0,0,0,1
222,1000,30,December,29,0,0,1,0,0,0,1
223,1000,15,February,30,0,0,1,0,1,0,0
224,1000,30,July,33,0,0,1,1,0,0,0
225,1000,30,January,26,0,0,1,0,1,0,0
226,1000,15,September,25,0,0,1,0,1,0,0
227,800,15,May,37,0,0,1,1,0,0,0
228,800,15,February,26,0,0,1,0,1,0,0
229,800,15,January,26,0,0,1,0,0,0,1
230,1000,15,September,27,0,0,1,0,0,0,1
231,1000,7,November,34,0,1,0,0,0,0,1
232,1000,30,December,37,0,0,1,0,0,0,1
233,1000,30,March,36,0,0,1,0,1,0,0
234,800,15,March,33,0,0,1,0,1,0,0
235,1000,30,October,30,0,0,1,0,1,0,0
236,1000,30,January,30,0,0,1,0,0,0,1
237,800,15,August,36,0,0,1,0,1,0,0
238,1000,15,April,29,0,0,1,0,0,0,1
239,1000,15,February,36,0,0,1,0,1,0,0
240,1000,30,February,32,0,0,1,0,1,0,0
241,1000,15,July,29,0,1,0,0,1,0,0
242,800,15,May,36,0,0,1,1,0,0,0
243,800,15,February,30,0,1,0,0,1,0,0
244,1000,7,September,31,0,0,1,0,0,0,1
245,1000,30,June,19,0,1,0,0,1,0,0
246,800,15,July,26,0,0,1,0,0,0,1
247,800,15,January,34,0,0,1,0,1,0,0
248,1000,30,June,35,0,0,1,0,1,0,0
249,1000,15,November,35,0,1,0,1,0,0,0
250,800,15,July,38,0,0,1,0,0,0,1
251,1000,30,December,29,0,0,1,0,0,0,1
252,1000,30,January,28,0,0,1,0,1,0,0
253,500,7,May,22,0,0,1,0,1,0,0
254,1000,30,April,32,0,0,1,0,0,0,1
255,1000,30,September,31,0,0,1,0,0,0,1
256,800,15,October,28,0,0,1,0,0,0,1
257,1000,15,September,37,0,1,0,0,0,0,1
258,1000,7,June,25,0,0,1,0,0,0,1
259,1000,30,January,19,0,0,1,0,1,0,0
260,800,15,March,51,0,0,1,0,0,0,1
261,1000,15,January,29,0,0,1,0,1,0,0
262,800,30,March,23,0,1,0,0,0,0,1
263,1000,15,August,30,0,0,1,0,1,0,0
264,800,15,September,23,0,0,1,0,0,0,1
265,1000,15,November,34,0,1,0,1,0,0,0
266,800,15,October,31,0,1,0,1,0,0,0
267,1000,15,April,24,0,0,1,0,1,0,0
268,1000,30,April,42,0,0,1,0,1,0,0
269,800,30,August,40,0,1,0,0,0,0,1
270,1000,30,January,29,0,0,1,0,1,0,0
271,1000,30,December,32,0,1,0,0,0,0,1
272,1000,30,September,28,0,0,1,0,0,0,1
273,1000,30,November,35,0,0,1,0,1,0,0
274,1000,30,May,30,0,0,1,1,0,0,0
275,800,15,August,44,0,0,1,0,0,0,1
276,800,15,July,37,0,0,1,0,1,0,0
277,1000,30,December,31,0,0,1,0,0,0,1
278,800,15,January,36,0,0,1,0,0,0,1
279,800,30,February,31,0,0,1,0,0,0,1
280,800,15,June,42,0,0,1,0,1,0,0
281,1000,15,March,28,0,0,1,1,0,0,0
282,1000,30,December,30,0,0,1,0,0,0,1
283,1000,30,September,30,0,0,1,0,1,0,0
284,1000,15,August,24,0,0,1,1,0,0,0
285,1000,30,October,34,0,0,1,1,0,0,0
286,1000,30,March,29,0,0,1,0,0,0,1
287,1000,30,May,38,0,1,0,0,1,0,0
288,1000,30,May,34,0,0,1,1,0,0,0
289,800,15,April,28,0,0,1,0,1,0,0
290,1000,15,October,30,0,1,0,0,0,0,1
291,1000,30,February,41,0,0,1,0,1,0,0
292,1000,30,July,29,0,0,1,0,0,0,1
293,1000,30,May,37,0,0,1,0,1,0,0
294,1000,30,February,36,0,0,1,1,0,0,0
295,1000,30,December,30,0,1,0,0,0,0,1
296,800,15,April,27,0,0,1,0,0,0,1
297,1000,30,May,29,0,0,1,0,1,0,0
298,1000,30,May,40,0,0,1,0,1,0,0
299,1000,30,February,28,0,0,1,0,0,0,1
300,1000,15,September,29,1,0,1,0,0,0,1
301,1000,30,October,37,1,0,1,0,1,0,0
302,1000,30,June,33,1,0,1,0,1,0,0
303,800,15,November,27,1,0,1,0,0,0,1
304,800,15,January,24,1,0,1,1,0,0,0
305,1000,15,May,31,1,1,0,0,1,0,0
306,800,15,November,28,1,0,1,0,0,0,1
307,1000,30,April,40,1,0,1,0,1,0,0
308,1000,30,July,33,1,0,1,0,0,0,1
309,800,15,October,41,1,0,1,0,0,0,1
310,1000,30,May,30,1,0,1,0,0,0,1
311,800,15,July,26,1,1,0,0,1,0,0
312,1000,30,February,27,1,0,1,0,1,0,0
313,1000,30,November,20,1,0,1,0,1,0,0
314,1000,30,December,24,1,0,1,0,0,0,1
315,1000,15,July,26,1,0,1,0,1,0,0
316,1000,30,April,30,1,0,1,0,1,0,0
317,1000,15,May,29,1,0,1,0,1,0,0
318,1000,30,November,22,1,0,1,1,0,0,0
319,1000,15,December,24,1,0,1,1,0,0,0
320,1000,30,May,25,1,0,1,0,0,0,1
321,1000,30,January,28,1,0,1,0,1,0,0
322,1000,30,November,37,1,0,1,0,0,0,1
323,800,15,December,32,1,0,1,0,0,0,1
324,1000,15,July,34,1,0,1,0,0,0,1
325,1000,30,September,28,1,0,1,1,0,0,0
326,800,15,August,35,1,0,1,1,0,0,0
327,1000,30,June,27,1,0,1,0,0,0,1
328,1000,30,April,24,1,1,0,0,1,0,0
329,1000,30,September,44,1,0,1,1,0,0,0
330,1000,15,December,31,1,0,1,0,0,0,1
331,800,15,April,27,1,0,1,0,0,0,1
332,1000,30,February,21,1,0,1,0,1,0,0
333,1000,30,April,30,1,1,0,0,1,0,0
334,1000,30,May,38,1,1,0,0,0,0,1
335,1000,30,January,34,1,0,1,0,1,0,0
336,1000,30,March,31,1,0,1,0,0,0,1
337,1000,30,October,23,1,0,1,0,1,0,0
338,1000,15,March,27,1,1,0,0,0,0,1
339,1000,15,June,39,1,0,1,0,1,0,0
340,1000,30,June,30,1,1,0,0,1,0,0
341,1000,30,December,25,1,0,1,0,0,0,1
342,1000,15,December,50,1,0,1,0,0,1,0
343,1000,30,July,23,1,0,1,0,1,0,0
344,800,15,September,38,1,0,1,1,0,0,0
345,1000,30,March,27,1,0,1,0,1,0,0
346,1000,30,October,31,1,0,1,0,1,0,0
347,800,15,August,40,1,0,1,0,0,0,1
348,1000,30,August,32,1,0,1,0,1,0,0
349,800,15,April,29,1,0,1,0,0,0,1
350,1000,30,October,26,1,0,1,0,1,0,0
351,1000,15,April,25,1,0,1,0,0,0,1
352,1000,30,June,35,1,0,1,0,1,0,0
353,1000,30,July,41,1,0,1,0,1,0,0
354,1000,30,December,37,1,0,1,0,1,0,0
355,1000,15,February,34,1,0,1,0,0,0,1
356,1000,30,July,45,1,0,1,0,1,0,0
357,1000,30,October,26,1,0,1,1,0,0,0
358,1000,30,December,32,1,0,1,0,0,0,1
359,1000,30,July,28,1,0,1,0,1,0,0
360,1000,30,October,34,1,0,1,0,0,0,1
361,800,15,June,29,1,0,1,0,1,0,0
362,1000,30,August,26,1,0,1,0,1,0,0
363,1000,15,November,26,1,0,1,0,0,0,1
364,800,15,February,22,1,0,1,0,0,0,1
365,1000,30,January,27,1,1,0,0,1,0,0
366,800,30,January,33,1,0,1,0,1,0,0
367,800,15,August,28,1,0,1,1,0,0,0
368,1000,30,May,24,1,0,1,0,0,0,1
369,1000,30,August,37,1,0,1,0,1,0,0
370,800,15,August,36,1,0,1,0,1,0,0
371,1000,30,October,18,1,0,1,0,0,0,1
372,800,15,April,25,1,0,1,0,1,0,0
373,1000,15,August,40,1,0,1,0,1,0,0
374,1000,30,October,29,1,0,1,0,0,0,1
375,800,15,December,26,1,1,0,0,1,0,0
376,1000,15,December,30,1,0,1,0,0,0,1
377,1000,30,October,33,1,0,1,0,0,0,1
378,1000,30,November,30,1,0,1,0,0,0,1
379,1000,30,May,32,1,0,1,0,0,0,1
380,1000,30,August,25,1,0,1,0,1,0,0
381,800,15,November,35,1,0,1,0,1,0,0
382,1000,15,December,30,1,0,1,1,0,0,0
383,1000,30,April,26,1,0,1,0,1,0,0
384,1000,30,January,29,1,0,1,0,1,0,0
385,1000,30,March,26,1,0,1,0,1,0,0
386,800,15,October,46,1,0,1,0,1,0,0
387,1000,30,July,36,1,0,1,0,1,0,0
388,1000,15,September,38,1,0,1,1,0,0,0
389,1000,15,June,32,1,0,1,0,1,0,0
390,1000,15,January,30,1,0,1,0,0,0,1
391,800,15,January,35,1,0,1,0,1,0,0
392,1000,30,July,29,1,1,0,0,0,0,1
393,1000,30,January,26,1,0,1,0,0,0,1
394,800,15,June,32,1,0,1,0,1,0,0
395,1000,30,August,25,1,0,1,0,1,0,0
396,1000,30,July,33,1,0,1,0,1,0,0
397,800,15,April,39,1,0,1,0,0,0,1
398,1000,30,November,28,1,0,1,0,0,0,1
399,1000,30,October,26,1,0,1,0,0,0,1
400,1000,30,December,26,1,0,1,0,0,0,1
401,1000,15,September,28,1,0,1,0,0,0,1
402,1000,30,March,39,1,0,1,0,0,0,1
403,1000,15,May,29,1,0,1,1,0,0,0
404,800,15,April,33,1,0,1,0,1,0,0
405,1000,30,January,27,1,0,1,0,0,0,1
406,800,15,June,34,1,0,1,0,0,0,1
407,1000,30,September,26,1,0,1,0,1,0,0
408,1000,30,November,28,1,0,1,0,1,0,0
409,1000,15,July,32,1,0,1,1,0,0,0
410,800,15,April,27,1,1,0,0,0,0,1
411,1000,30,March,21,1,0,1,0,0,0,1
412,800,15,June,39,1,0,1,0,0,0,1
413,1000,15,November,38,1,0,1,0,0,0,1
414,1000,30,March,36,1,1,0,0,1,0,0
415,800,15,March,33,1,0,1,0,0,0,1
416,1000,30,June,21,1,1,0,0,0,0,1
417,800,15,April,25,1,0,1,0,1,0,0
418,800,15,August,29,1,0,1,0,0,0,1
419,1000,30,October,33,1,0,1,0,1,0,0
420,1000,15,June,47,1,1,0,0,1,0,0
421,1000,30,November,33,1,0,1,0,0,0,1
422,800,15,December,23,1,0,1,0,1,0,0
423,1000,15,September,24,1,0,1,0,0,0,1
424,1000,30,July,27,1,0,1,0,1,0,0
425,1000,30,April,32,1,0,1,1,0,0,0
426,1000,30,June,33,1,0,1,0,0,0,1
427,1000,30,June,27,1,1,0,0,0,0,1
428,1000,30,August,35,1,0,1,0,1,0,0
429,500,15,February,37,1,0,1,1,0,0,0
430,800,15,January,28,1,0,1,1,0,0,0
431,1000,15,February,33,1,0,1,0,0,0,1
432,800,7,August,34,1,1,0,1,0,0,0
433,1000,30,July,29,1,0,1,0,0,0,1
434,1000,30,July,34,1,0,1,1,0,0,0
435,1000,30,August,29,1,0,1,1,0,0,0
436,1000,30,June,24,1,0,1,0,1,0,0
437,1000,30,June,34,1,0,1,0,1,0,0
438,1000,30,April,25,1,1,0,0,0,0,1
439,1000,30,June,24,1,0,1,0,0,0,1
440,1000,30,May,30,1,0,1,0,0,0,1
441,1000,15,April,28,1,0,1,0,0,0,1
442,1000,30,October,24,1,0,1,0,1,0,0
443,1000,30,July,26,1,1,0,0,0,0,1
444,1000,30,January,24,1,0,1,0,1,0,0
445,1000,15,June,29,1,0,1,0,0,0,1
446,1000,30,July,31,1,0,1,0,0,0,1
447,1000,30,February,26,1,0,1,0,0,0,1
448,1000,30,January,25,1,0,1,0,1,0,0
449,1000,30,September,29,1,0,1,0,0,0,1
450,1000,30,October,38,1,0,1,0,0,0,1
451,800,15,August,41,1,0,1,0,0,0,1
452,1000,15,May,26,1,0,1,0,1,0,0
453,1000,30,July,26,1,0,1,0,1,0,0
454,1000,30,September,35,1,0,1,0,1,0,0
455,1000,15,September,37,1,0,1,0,0,0,1
456,1000,30,February,25,1,0,1,0,0,0,1
457,1000,30,October,24,1,0,1,0,0,0,1
458,1000,30,June,34,1,0,1,0,0,0,1
459,800,15,July,33,1,0,1,0,0,0,1
460,800,15,May,38,1,0,1,1,0,0,0
461,1000,30,June,38,1,0,1,0,1,0,0
462,1000,30,June,26,1,0,1,0,0,0,1
463,1000,15,May,37,1,0,1,1,0,0,0
464,1000,30,April,42,1,1,0,0,1,0,0
465,1000,30,October,49,1,1,0,0,1,0,0
466,1000,30,October,26,1,0,1,0,1,0,0
467,1000,15,February,41,1,0,1,0,1,0,0
468,1000,30,June,38,1,0,1,0,1,0,0
469,1000,30,September,26,1,0,1,0,1,0,0
470,1000,15,September,32,1,0,1,0,1,0,0
471,1000,30,January,27,1,0,1,1,0,0,0
472,800,15,October,33,1,0,1,0,0,0,1
473,1000,30,July,30,1,0,1,0,1,0,0
474,800,15,February,26,1,1,0,0,1,0,0
475,1000,30,July,35,1,1,0,0,0,0,1
476,800,15,March,46,1,1,0,0,0,0,1
477,1000,30,December,27,1,0,1,0,0,0,1
478,1000,15,March,22,1,0,1,0,1,0,0
479,1000,30,August,27,1,0,1,1,0,0,0
480,1000,15,October,30,1,0,1,1,0,0,0
481,1000,15,December,27,1,0,1,0,1,0,0
482,800,15,September,47,1,0,1,0,0,0,1
483,1000,30,February,30,1,0,1,0,0,0,1
484,1000,30,February,26,1,0,1,0,0,0,1
485,1000,30,September,38,1,0,1,0,1,0,0
486,800,15,March,46,1,0,1,0,1,0,0
487,1000,30,October,35,1,0,1,1,0,0,0
488,1000,15,April,45,1,0,1,0,0,0,1
489,1000,30,November,36,1,0,1,0,0,0,1
490,1000,30,August,38,1,0,1,0,1,0,0
491,1000,30,February,27,1,0,1,0,0,0,1
492,1000,30,September,27,1,0,1,1,0,0,0
493,1000,15,February,29,1,0,1,0,0,0,1
494,1000,30,September,30,1,0,1,0,1,0,0
495,1000,30,December,28,1,0,1,0,1,0,0
496,1000,15,July,26,1,0,1,0,1,0,0
497,800,15,June,30,1,0,1,0,0,0,1
498,1000,30,March,38,1,1,0,0,0,0,1
499,1000,30,March,28,1,0,1,0,1,0,0
